C-axis rear bearing,A-axis rear bearing,y2
21.001,23.48,-0.943333333
20.98433333,23.4805,1.746666667
20.95,23.4805,2.58
20.95616667,23.48383333,-2.225
20.96616667,23.482,-5.405
20.9605,23.537,-2.48
20.95633333,23.53166667,1.29
20.9495,23.52366667,2.156666667
20.95616667,23.55766667,-0.193333333
20.94733333,23.53783333,-3.716666667
20.92683333,23.57283333,-4.388333333
20.924,23.56966667,-1.773333333
20.94216667,23.602,2.36
20.957,23.59983333,1.985
20.95866667,23.62733333,-2.34
20.977,23.64666667,-4.53
21.00066667,23.66083333,-1.835
21.00033333,23.677,-1.571666667
20.9885,23.71583333,-0.536666667
21.007,23.72566667,-0.426666667
21.0335,23.75033333,-1.615
21.01766667,23.78,-0.605
21.01116667,23.827,-0.3
21.024,23.84933333,-1.946666667
21.04433333,23.88666667,-0.956666667
21.0455,23.90716667,-0.341666667
21.045,23.91733333,-1.475
21.04266667,23.94283333,-0.908333333
21.069,23.97333333,-0.553333333
21.06866667,23.9955,-1.445
21.061,24.005,-0.996666667
21.07816667,24.043,-0.886666667
21.1,24.0445,-1.723333333
21.116,24.09,-1.261666667
21.086,24.10183333,-0.483333333
21.0875,24.11616667,-1.925
21.12683333,24.13383333,-1.468333333
21.13216667,24.14,-0.665
21.13233333,24.1415,-1.605
21.12766667,24.17666667,-1.776666667
21.1475,24.17316667,-0.918333333
21.166,24.1885,-1.83
21.148,24.22866667,-1.448333333
21.14233333,24.25783333,-0.718333333
21.164,24.249,-2.016666667
21.17333333,24.25716667,-1.441666667
21.1675,24.26966667,-0.59
21.166,24.267,-1.42
21.172,24.3145,-1.666666667
21.186,24.34966667,-1.07
21.1925,24.339,-1.583333333
21.18266667,24.377,-1.396666667
21.17666667,24.389,-1.188333333
21.202,24.4275,-1.946666667
21.21283333,24.45466667,-1.838333333
21.189,24.47716667,-1.613333333
21.17833333,24.4785,-2.223333333
21.19983333,24.509,-2.193333333
21.22666667,24.51466667,-1.315
21.2065,24.54116667,-1.506666667
21.2,24.6005,-1.428333333
21.21616667,24.583,-1.24
21.24616667,24.631,-1.841666667
21.23416667,24.61833333,-1.171666667
21.22666667,24.63116667,-1.203333333
21.24583333,24.64316667,-1.906666667
21.2675,24.655,-1.45
21.2565,24.66683333,-1.456666667
21.25816667,24.67583333,-2.18
21.2645,24.7205,-1.558333333
21.287,24.73016667,-1.68
21.2945,24.7465,-2.141666667
21.2795,24.76833333,-1.466666667
21.25566667,24.7835,-1.303333333
21.27,24.78533333,-2.278333333
21.3,24.84083333,-1.655
21.297,24.83833333,-1.583333333
21.2915,24.8485,-2.715
21.297,24.857,-1.29
21.31166667,24.8975,-1.626666667
21.30466667,24.902,-2.205
21.3,24.9345,-1.501666667
21.30366667,24.95,-1.403333333
21.34216667,24.976,-2.391666667
21.3865,24.99783333,-1.613333333
21.38116667,25.015,-1.323333333
21.36583333,25.03233333,-2.171666667
21.34983333,25.047,-1.423333333
21.36233333,25.04966667,-1.676666667
21.37916667,25.08816667,-2.133333333
21.34833333,25.1075,-1.105
21.33033333,25.128,-1.668333333
21.35,25.15983333,-2.61
21.3695,25.18633333,-1.583333333
21.37516667,25.16783333,-1.723333333
21.35833333,25.20166667,-2.366666667
21.35133333,25.2205,-1.573333333
21.39433333,25.256,-1.628333333
21.4215,25.286,-2.816666667
21.437,25.30066667,-1.628333333
21.42116667,25.30066667,-1.686666667
21.40883333,25.323,-2.54
21.4245,25.3685,-1.503333333
21.4455,25.4055,-1.718333333
21.437,25.396,-2.351666667
